stadium,City Id,team,capacity
Michigan Stadium,1,Michigan,107601
Beaver Stadium,2,Penn State,106572
Ohio Stadium,3,Ohio State,104944
Kyle Field,4,Texas A&M,102733
Neyland Stadium,5,Tennessee,102455
Tiger Stadium,6,LSU,102321
Bryant–Denny Stadium,7,Alabama,101821
Darrell K Royal–Texas Memorial Stadium,8,Texas,100119
Los Angeles Memorial Coliseum,9,Southern California,93607
Sanford Stadium,10,Georgia,92746
Rose Bowl,11,UCLA,92542
Ben Hill Griffin Stadium,12,Florida,88548
Jordan–Hare Stadium,13,Auburn,87451
Memorial Stadium,14,Nebraska,87091
Bobby Bowden Field at Doak Campbell Stadium,15,Florida State,82300
Gaylord Family Oklahoma Memorial Stadium,16,Oklahoma,82112
Memorial Stadium,17,Clemson,81500
Notre Dame Stadium,18,Notre Dame,80795
Camp Randall Stadium,19,Wisconsin,80321
Williams-Brice Stadium,20,South Carolina,80250
Spartan Stadium,21,Michigan State,75005
Donald W. Reynolds Razorback Stadium,22,Arkansas,72000
Sun Devil Stadium Frank Kush Field,23,Arizona State,71706
Faurot Field,24,Missouri,71168
Kinnick Stadium,25,Iowa,70585
Qualcomm Stadium,26,San Diego State,70561
Husky Stadium,27,Washington,70500
Lincoln Financial Field,28,Temple,68532
Heinz Field,29,Pittsburgh,68400
Lane Stadium,30,Virginia Tech,66233
Raymond James Stadium,31,USF,65857
Sun Life Stadium,32,Miami,65326
Alamodome,33,UTSA,65000
LaVell Edwards Stadium,34,BYU,63725
Kenan Memorial Stadium,35,North Carolina,62980
California Memorial Stadium,36,California,62717
Liberty Bowl Memorial Stadium,37,Memphis,62380
Commonwealth Stadium,38,Kentucky,62093
Jack Trice Stadium,39,Iowa State,61500
Scott Stadium,40,Virginia,61500
Davis Wade Stadium,41,Mississippi State,61337
Jones AT&T Stadium,42,Texas Tech,60862
Memorial Stadium,43,Illinois,60670
Vaught–Hemingway Stadium,44,Mississippi,60580
Boone Pickens Stadium,45,Oklahoma State,60218
Mountaineer Field at Milan Puskar Stadium,46,West Virginia,60000
Carter–Finley Stadium,47,NC State,57583
Ross–Ade Stadium,48,Purdue,56400
Bobby Dodd Stadium at Historic Grant Field,49,Georgia Tech,55000
Papa John's Cardinal Stadium,50,Louisville,55000
Autzen Stadium,51,Oregon,54000
Memorial Stadium,52,Indiana,52959
TCF Bank Stadium,53,Minnesota,52525
High Point Solutions Stadium,54,Rutgers,52454
Arizona Stadium,55,Arizona,51811
Byrd Stadium,56,Maryland,51802
Sun Bowl Stadium,57,UTEP,51500
Folsom Field,58,Colorado,50183
